ID#,2 Names, Êrelation#,name of relation,Corp #,Corp,Full name of Corporation,Type of business,Miscellaneous info
8333021,Bernardo  Larra’n,151,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,Prim: Colbun S.A.
396550,Martin  Llona,152,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,Prim: Empresa Nacional de Electricidad S.A
132383457,Erwin  Hahn,153,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
388521,Jos  Letamendi,154,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
8073154,Jorge  Garreton,155,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,Prim: Embotelladora Andina S.A.
8347262,Juan  Eyzaguirre,156,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
20611145,Andr_s  Salas,157,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,Prim: EPG Partners S.A.
105847688,L.  Mullins,158,BoD,12,CMPC:CI,Empresas Cmpc Sa,Wood Pulp,
206802082,Ignacio  Cruz,159,CEO,13,COLBUN:CI,Colbun,Electricity,
107456829,Cristi‡n  Jaureguiberry,160,Manager of Fin.,13,COLBUN:CI,Colbun,Electricity,
8333021,Bernardo  Larra’n,161,BoD,13,COLBUN:CI,Colbun,Electricity,
37312261,Fernando  Garc’a,162,BoD,13,COLBUN:CI,Colbun,Electricity,
37312367,Demetrio  Bacarreza,163,BoD,13,COLBUN:CI,Colbun,Electricity,
8320888,Luis  Achondo,164,BoD,13,COLBUN:CI,Colbun,Electricity,Prim: Almendral S.A.
8742780,Arturo  I–iguez,165,BoD,13,COLBUN:CI,Colbun,Electricity,
13401616,Eduardo  Beltr‡n,166,BoD,13,COLBUN:CI,Colbun,Electricity,Prim: Empresas COPEC S.A.
13401578,Hurtado  Juan,167,BoD,13,COLBUN:CI,Colbun,Electricity,
798228,Sergio  Saavedra,168,BoD,13,COLBUN:CI,Colbun,Electricity,
408932,Eduardo  Gana,169,CEO/GM,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
408934,Osvaldo  Venegas,170,CFO,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
408922,Enrique  Tirado,171,Executive,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
408930,Rafael  Gana,172,VC,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
23628106,Sergio  Ph.D.,173,Director,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
136869807,Jorge  Nez,174,Director,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
408928,Alfonso  Maria,175,BoD,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
1161752,Mariano  Concha,176,BoD,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
8073206,Francisco  Estevez,177,BoD,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
23217943,Pablo  Gana,178,BoD,14,CONCHA:CI,Vi–a Concha y Toro,Wines,
13401616,Eduardo  Beltr‡n,179,CEO/GM,15,COPEC:CI,Empresas Copec Sa,Conglomerate,
59362096,Rodrigo  Alvarado,180,CFO,15,COPEC:CI,Empresas Copec Sa,Conglomerate,
113463151,Joaqu’n  Sanfiel,181,CEO,15,COPEC:CI,Empresas Copec Sa,Conglomerate,
13401584,Lorenzo  Schleyer,182,CEO,15,COPEC:CI,Empresas Copec Sa,Conglomerate,
13401588,Roberto  Rossi,183,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: Pesquera Iquique Guanaye S.A.
12057997,Jose  Dumas,184,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: AntarChile S.A.
8320839,Carlos  Ruiz-Tagle,185,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: Molibdenos y Metales S.A.
24701333,Juan  Pe–afiel,186,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: AntarChile S.A.
8333021,Bernardo  Larra’n,187,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: Colbun S.A.
24701336,Arnaldo  Balbi,188,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: AntarChile S.A.
59362089,Andr_s  Larre,189,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: Banco de Credito e Inversiones
24701331,Jorge  Fouque,190,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,Prim: AntarChile S.A.
139422745,Juan  Gonzalez,191,BoD,15,COPEC:CI,Empresas Copec Sa,Conglomerate,
